"Provincia, canton y distrito",Población de 15 años y más,Tasa neta de participación,Tasa_de_ocupacion,Tasa de desempleo abierto,Porcentaje de población económicamente inactiva,Relación de dependencia económica,Sector Primario,Sector Secundario,Sector Terciario
Guadalupe         ,17467.0,54.99513368065495,53.248983798019125,3.1750988965230063,45.00486631934505,1.1510514261919633,0.4838189441995484,13.428663584560798,86.08751747123965
San Francisco     ,1684.0,55.166270783847985,52.73159144893111,4.413347685683531,44.833729216152015,1.1872981700753498,1.1261261261261262,17.454954954954953,81.41891891891892
Calle Blancos     ,15370.0,59.11515940143136,56.896551724137936,3.753026634382567,40.88484059856864,1.0893682588597844,0.5145797598627788,16.340766152086907,83.14465408805032
Mata de Plátano   ,13808.0,61.13122827346466,59.414831981460026,2.8077242032934486,38.86877172653534,1.0578130553251985,1.157971721111653,15.553388590931252,83.28863968795709
Ipís             ,20253.0,57.408778946328944,55.40413765861848,3.491872366044552,42.59122105367106,1.239012642986153,0.47232866945905,17.244452366099278,82.28321896444167
Rancho Redondo    ,1903.0,55.64897530215449,52.91644771413557,4.910292728989613,44.35102469784551,1.3966005665722379,19.860973187686195,19.36444885799404,60.77457795431977
Purral            ,20052.0,53.216636744464395,50.64831438260523,4.826164370724393,46.78336325553561,1.5737044325742666,0.6400157542339504,19.870027569909414,79.48995667585663
,,,,,,,,,
Santa Ana,38096.0,61.775514489710204,60.36329273414531,2.2860542194272115,38.224485510289796,1.087320472507861,3.1570707949208554,17.6682901374152,79.17463906766395
,,,,,,,,,
Santa Ana         ,9075.0,62.76584022038567,61.52066115702479,1.9838483146067416,37.23415977961432,0.9873595505617978,2.2926741895038507,17.123410352856887,80.58391545763926
Salitral          ,3171.0,61.33711762850835,59.91800693787449,2.313624678663239,38.66288237149164,1.212853470437018,9.263157894736842,19.894736842105264,70.84210526315789
Pozos   ,11893.0,63.751786765324134,62.13739174304212,2.532313373780005,36.24821323467586,1.0555262463729886,2.341001353179973,17.185385656292286,80.47361299052774
Uruca,5548.0,59.67916366258111,58.12905551550108,2.5974025974025974,40.32083633741889,1.1745696164300816,2.945736434108527,17.085271317829456,79.96899224806202
Piedades          ,6434.0,58.765930991607085,57.429281939695365,2.274530547474213,41.234069008392915,1.1496958476593493,3.3288227334235456,18.213802435723952,78.4573748308525
Brasil            ,1975.0,61.721518987341774,60.91139240506329,1.3125512715340444,38.278481012658226,1.1214109926168991,2.57689110556941,19.534497090606816,77.88861180382376
,,,,,,,,,
